4766,1.0,,-1.0,
7136,-3.0,,-4.0,
9531,1.0,,1.0,
11926,6.0,,6.0,
14310,3.0,,5.0,
16678,-2.0,,-2.0,
19060,10.0,,4.0,
21433,3.0,,6.0,
23816,3.0,,0.0,
26206,11.0,,10.0,
28603,2.0,,-2.0,
30965,3.0,,-1.0,
33332,4.0,,4.0,
35751,8.0,,8.0,
38124,-4.0,,-5.0,
40507,-3.0,,-2.0,
42912,5.0,,4.0,
45296,5.0,,0.0,
47689,2.0,,-1.0,
50079,-2.0,,0.0,
52472,2.0,,3.0,
54865,2.0,,2.0,
57245,2.0,,1.0,
59613,-2.0,,-2.0,
61992,1.0,,0.0,
64367,5.0,,3.0,
66759,-2.0,,0.0,
69143,3.0,,-1.0,
71523,-3.0,,0.0,
73896,-1.0,,-10.0,
76285,-4.0,,-1.0,
78670,1.0,,-1.0,
81075,7.0,,7.0,
83451,10.0,,6.0,
85840,-5.0,,-6.0,
88215,2.0,,2.0,
90583,3.0,,3.0,
92965,3.0,,0.0,
95335,7.0,,1.0,
97732,-2.0,,-7.0,
100102,6.0,,4.0,
102473,-3.0,,-1.0,
104841,2.0,,1.0,
107201,0.0,,-1.0,
109592,-2.0,,-2.0,
111992,5.0,,2.0,
114389,1.0,,1.0,
116767,3.0,,4.0,
119140,-6.0,,-6.0,
121529,2.0,,1.0,
123916,-8.0,,-11.0,
126275,0.0,,-1.0,
128652,-2.0,,-6.0,
131033,6.0,,4.0,
133413,-1.0,,-1.0,
135815,6.0,,14.0,
138180,8.0,,9.0,
140570,4.0,,5.0,
142942,6.0,,-1.0,
145338,3.0,,3.0,
147728,3.0,,1.0,
150115,16.0,,11.0,
152474,5.0,,0.0,
154861,-2.0,,0.0,
157260,-3.0,,0.0,
159637,-6.0,,-5.0,
162028,0.0,,-4.0,
164432,-1.0,,-2.0,
166790,4.0,,4.0,
169177,3.0,,3.0,
171569,-2.0,,-1.0,
173956,8.0,,14.0,
176347,-7.0,,-11.0,
178716,-3.0,,-1.0,
181113,0.0,,0.0,
183499,3.0,,1.0,
185860,4.0,,1.0,
188253,-2.0,,-7.0,
190616,-2.0,,-2.0,
193000,4.0,,3.0,
195360,6.0,,0.0,
197752,6.0,,6.0,
200114,-2.0,,-1.0,
202514,-7.0,,-6.0,
204907,-1.0,,-2.0,
207284,4.0,,8.0,
209680,-2.0,,-3.0,
212067,-3.0,,-4.0,
214446,-3.0,,-18.0,
216831,5.0,,-1.0,
219225,7.0,,7.0,
221597,1.0,,1.0,
223988,9.0,,9.0,
226357,1.0,,-1.0,
228737,5.0,,4.0,
231130,-1.0,,-1.0,
233504,-3.0,,-3.0,
235874,2.0,,-2.0,
238259,1.0,,2.0,
240643,2.0,1.6,4.0,0.5
