0
14
16
16
23
16
16
16
16
16
19,14.9
16,16.8
16,17.0
16,17.0
16,17.0
23,16.3
16,17.0
16,17.0
23,17.0
23,17.7
23,18.4
23,18.8
24,19.5
23,20.3
24,21.0
24,21.8
23,21.9
23,22.6
24,23.3
29,23.4
24,24.0
24,24.1
23,24.2
27,24.1
28,24.5
38,24.9
36,26.3
36,27.6
37,28.9
37,30.2
33,31.0
39,31.9
32,33.4
36,34.3
36,35.2
38,36.0
44,36.0
37,36.8
40,36.9
40,37.2
40,37.5
42,38.2
42,38.5
44,39.5
43,40.3
40,41.0
40,41.2
40,40.8
40,41.1
40,41.1
42,41.1
41,41.3
41,41.2
45,41.1
41,41.2
41,41.0
52,41.1
41,42.3
41,42.4
42,42.5
43,42.7
42,42.8
43,42.9
42,43.1
42,42.8
41,42.9
41,42.9
40,41.8
41,41.7
42,41.7
42,41.7
40,41.6
45,41.4
58,41.6
45,43.2
45,43.5
45,43.9
45,44.3
46,44.8
45,45.3
50,45.6
45,46.4
50,46.9
50,47.4
45,46.6
45,46.6
46,46.6
45,46.7
50,46.7
45,47.1
45,47.1
46,46.6
46,46.7
45,46.3
45,45.8
45,45.8
45,45.8
45,45.7
45,45.7
45,45.2
45,45.2
45,45.2
46,45.1
46,45.1
53,45.2
48,46.0
45,46.3
45,46.3
45,46.3
47,46.3
47,46.5
47,46.7
47,46.9
47,47.0
47,47.1
47,46.5
45,46.4
47,46.4
51,46.6
45,47.2
47,47.0
50,47.0
57,47.3
45,48.3
51,48.1
55,48.5
45,49.3
49,49.3
47,49.5
47,49.1
48,49.3
42,49.4
46,48.6
52,47.5
44,48.2
47,47.5
49,46.7
49,47.1
48,47.1
50,47.2
49,47.5
53,47.6
47,48.7
49,48.8
45,48.5
46,48.6
49,48.5
46,48.5
46,48.2
44,48.0
44,47.4
55,46.9
48,47.1
50,47.2
46,47.3
66,47.4
47,49.4
48,49.2
49,49.4
55,49.7
55,50.8
49,51.9
54,51.3
51,51.9
54,52.0
67,52.8
50,52.9
63,53.2
52,54.7
53,55.0
61,54.8
53,55.4
66,55.8
67,57.0
54,58.6
51,58.6
67,57.0
56,58.7
60,58.0
59,58.8
63,59.4
60,59.6
58,60.3
58,59.5
60,58.6
58,59.2
61,59.9
65,59.3
59,60.2
61,60.1
